Name,Level,Designated Unit,Accel,Bless,Cheer,Dodge Gain,Attack(Hit) Gain,Get Hit Gain,Attack(Miss) Gain,Destroy Target Gain,Ally Destroyed Gain,Available
AYA KOBAYASHI,37,R-3 Powered,NO,NO,NO,1,0,1,0,5,1,YES
BROOKLYN LUCKFIELD,35,Grungust Type 2,NO,NO,NO,0,2,2,-1,5,2,YES
DAITETSU MINASE,34,Hagane,NO,NO,YES,0,2,2,-1,5,2,YES
ELZAM V. BRANSTEIN,0,,UN,NO,NO,1,1,1,1,5,1,NO
EXCELLEN BROWNING,0,,NO,NO,NO,1,0,2,3,5,0,NO
GARNET SUNDAY,23,Schutzwald (Yellow),NO,YES,YES,1,0,2,3,5,0,YES
GIADO BENELDI,23,,YES,NO,NO,0,0,2,2,6,2,YES
GILLIAM YAGER,36,Gespenst-R,YES,NO,NO,1,1,1,1,5,1,YES
IRMGULD KAZAHARA,37,Grungust,YES,NO,NO,1,0,2,3,5,0,YES
KAI KITAMURA,0,,UN,NO,NO,1,1,1,1,5,1,NO
KATINA TARASK,34,Giganscudo,YES,NO,NO,0,0,2,2,6,2,YES
KUSUHA MIZUHA,23,,NO,NO,NO,1,1,1,-2,5,-1,YES
KYOSUKE NANBU,37,Alteisen,YES,NO,NO,0,2,2,-1,5,2,YES
LATOONI SUVOTA,35,Wildraubtier,NO,NO,NO,2,2,1,0,3,0,YES
LEFINA ENFIELD,35,Hiryu Custom,NO,YES,NO,1,1,1,-2,5,-1,YES
LEONA GARSTEIN,33,R-Gun,YES,NO,NO,2,2,1,0,3,0,YES
LUNE ZOLDARK,32,Valsione,NO,NO,NO,0,2,2,-1,5,2,YES
MASAKI ANDOH,33,Cybuster,NO,NO,NO,0,2,2,-1,5,2,YES
RAIDIESE F. BRANSTEIN,37,R-2 Powered,YES,NO,NO,2,2,1,0,3,0,YES
RADHA BYRABAN,25,Schutzwald (White),UN,YES,NO,1,0,1,0,5,1,YES
RIO MEILONG,34,Huckebein MkII,NO,NO,NO,0,2,2,-1,5,2,YES
RUSSEL BERGMAN,33,Valsion Custom,NO,NO,YES,1,0,1,0,5,1,YES
RYOTO HIKAWA,23,Huckebein 009,NO,NO,NO,1,0,1,0,5,1,YES
RYUSEI DATE,35,R-1,NO,NO,NO,0,2,2,-1,5,2,YES
SANGER ZONVOLT,0,,YES,NO,NO,0,2,2,-1,5,2,NO
TASUKU SHINGUJI,33,Wildschwein,NO,NO,NO,1,0,2,3,5,0,YES
VILETTA VADIM,0,,YES,NO,NO,2,2,1,0,3,0,NO
